"ID","番号","種別","カード名","キャラ","セリフ"
"fool_upright_a","0","大アルカナ","愚者","ちいかわ","やってみよッ！"
"fool_upright_b","0","大アルカナ","愚者","鎧さん","ちいかわが新しい一歩を踏み出そうとしている"
"fool_reversed_a","0","大アルカナ","愚者","ちいかわ","わァ…ぁ…"
"fool_reversed_b","0","大アルカナ","愚者","鎧さん","ちいかわがためらっている、大丈夫だ"
"magician_upright_a","1","大アルカナ","魔術師","ハチワレ","作っちゃうよ！ってコト！"
"magician_upright_b","1","大アルcana","魔術師","ハチワレ",""
"magician_reversed_a","1","大アルカナ","魔術師","ハチワレ","飽きた…ってコト？"
"magician_reversed_b","1","大アルカナ","魔術師","ハチワレ",""
"priestess_upright_a","2","大アルカナ","女教皇","シーサー","わかる気がするシーサー！"
"priestess_upright_b","2","大アルカナ","女教皇","シーサー",""
"priestess_reversed_a","2","大アルカナ","女教皇","シーサー","感情に流されすぎシーサー！"
"priestess_reversed_b","2","大アルカナ","女教皇","シーサー",""
"empress_upright_a","3","大アルカナ","女帝","くりまんじゅう","みんなで食べよう！"
"empress_upright_b","3","大アルカナ","女帝","くりまんじゅう",""
"empress_reversed_a","3","大アルカナ","女帝","くりまんじゅう","まだ足りない！ハァー！"
"empress_reversed_b","3","大アルカナ","女帝","くりまんじゅう",""
"emperor_upright_a","4","大アルカナ","皇帝","鎧さん","教えるぞ！俺がルールだ！"
"emperor_upright_b","4","大アルカナ","皇帝","鎧さん",""
"emperor_reversed_a","4","大アルカナ","皇帝","鎧さん","規律を守れ！逆らうな！"
"emperor_reversed_b","4","大アルカナ","皇帝","鎧さん",""
"hierophant_upright_a","5","大アルカナ","法王","鎧さん","その姿勢が大事だ！"
"hierophant_upright_b","5","大アルカナ","法王","鎧さん",""
"hierophant_reversed_a","5","大アルカナ","法王","鎧さん","古いやり方に固執するな！"
"hierophant_reversed_b","5","大アルカナ","法王","鎧さん",""
"lovers_upright_a","6","大アルカナ","恋人","ハチワレ","お揃いだよ！ってコト！"
"lovers_upright_b","6","大アルカナ","恋人","ハチワレ",""
"lovers_reversed_a","6","大アルカナ","恋人","ハチワレ","心がふたつある…ってコト？"
"lovers_reversed_b","6","大アルカナ","恋人","ハチワレ",""
"chariot_upright_a","7","大アルカナ","戦車","うさぎ","イイヤァーハァ！一直線！"
"chariot_upright_b","7","大アルカナ","戦車","鎧さん","うさぎが勢いよく進んでいる、いいぞ！"
"chariot_reversed_a","7","大アルカナ","戦車","うさぎ","止まらない！暴走だ！"
"chariot_reversed_b","7","大アルカナ","戦車","鎧さん","うさぎが暴走している、落ち着け"
"strength_upright_a","8","大アルカナ","力","鎧さん","よくできました！鍛えろ！"
"strength_upright_b","8","大アルカナ","力","鎧さん",""
"strength_reversed_a","8","大アルカナ","力","鎧さん","力みすぎだ！制御しろ！"
"strength_reversed_b","8","大アルカナ","力","鎧さん",""
"hermit_upright_a","9","大アルカナ","隠者","ラッコ","静かに考える…"
"hermit_upright_b","9","大アルカナ","隠者","ラッコ",""
"hermit_reversed_a","9","大アルカナ","隠者","ラッコ","ひとりでいい…"
"hermit_reversed_b","9","大アルカナ","隠者","ラッコ",""
"wheel_upright_a","10","大アルカナ","運命の輪","ハチワレ","なんとかなるって！"
"wheel_upright_b","10","大アルカナ","運命の輪","ハチワレ",""
"wheel_reversed_a","10","大アルカナ","運命の輪","ハチワレ","流れに乗れない…ってコト？"
"wheel_reversed_b","10","大アルカナ","運命の輪","ハチワレ",""
"justice_upright_a","11","大アルカナ","正義","鎧さん","公正な裁きだ！罪なら罰！"
"justice_upright_b","11","大アルカナ","正義","鎧さん",""
"justice_reversed_a","11","大アルカナ","正義","鎧さん","言い訳無用！認めろ！"
"justice_reversed_b","11","大アルカナ","正義","鎧さん",""
"hangedman_upright_a","12","大アルカナ","吊るされた男","鎧さん","新たな視点を持て！"
"hangedman_upright_b","12","大アルカナ","吊るされた男","鎧さん",""
"hangedman_reversed_a","12","大アルカナ","吊るされた男","鎧さん","視野が狭いぞ！"
"hangedman_reversed_b","12","大アルカナ","吊るされた男","鎧さん",""
"death_upright_a","13","大アルカナ","死神","キメラ","むちゃくちゃにしてやる！！"
"death_upright_b","13","大アルカナ","死神","キメラ",""
"death_reversed_a","13","大アルカナ","死神","キメラ","まだ終わってないだろ！"
"death_reversed_b","13","大アルカナ","死神","キメラ",""
"temperance_upright_a","14","大アルカナ","節制","鎧さん","調和の極意！バランス取れ！"
"temperance_upright_b","14","大アルカナ","節制","鎧さん",""
"temperance_reversed_a","14","大アルカナ","節制","鎧さん","中庸を失うな！"
"temperance_reversed_b","14","大アルカナ","節制","鎧さん",""
"devil_upright_a","15","大アルカナ","悪魔","モモンガ","甘いものが食べたいんだよォー！"
"devil_upright_b","15","大アルカナ","悪魔","モモンガ",""
