sky_id,sky_name,weather_id,season,rarity,emotion
1,雪明かり,7,WINTER,R,静かな希望
2,冬晴れ,2,WINTER,N,穏やかな安心
3,氷空,7,WINTER,SR,試練と成長
4,朝焼け,1,SPRING,SSR,再出発
5,若葉風,2,SPRING,SR,成長
6,桜空,2,SPRING,SSR,喜び
7,春霞,8,SPRING,R,迷いと期待
8,菜種雲,3,SPRING,N,準備
9,青空,1,SUMMER,SSR,開放
10,入道雲,6,SUMMER,SR,挑戦
11,夕焼け,2,SUMMER,SSR,充実
12,星月夜,1,SUMMER,SSR,願い
13,秋晴れ,1,AUTUMN,SR,成熟
14,うろこ雲,3,AUTUMN,N,変化
15,高天,2,AUTUMN,SSR,達成
16,木枯らし空,5,AUTUMN,R,手放し
17,花曇り,4,SPRING,R,余韻
18,旅空,8,AUTUMN,R,探求
19,雨上がり,5,SPRING,SR,回復
20,雪雲,7,WINTER,R,耐える力
21,月影空,4,WINTER,SR,内省
22,深霧,8,WINTER,R,未知
23,静雲,4,WINTER,N,休息
24,天光,1,SPRING,SSR,目覚め
