type,line_no,fortune_level,emotion,chiikawa_emotion,energy_delta,love_delta,work_delta,money_delta,growth_delta,healing_delta,challenge_delta,stability_delta,fortune_delta
ACTIVE,1,吉,希望,ちょっとはじまった,1,0,1,0,1,0,0,0,1
ACTIVE,2,吉,前進,いい感じかも,1,0,1,0,1,0,0,0,1
ACTIVE,3,中吉,挑戦,がんばりどころ,2,0,1,0,1,-1,1,-1,0
ACTIVE,4,吉,飛躍,なんかいけそう,2,0,2,1,1,0,0,0,2
ACTIVE,5,大吉,達成,すごくいい感じ,3,1,2,1,2,0,0,0,5
ACTIVE,6,注意,過剰,やりすぎたかも,-1,-1,-1,0,0,-1,0,-2,-3
STABLE,1,中吉,準備,ゆっくりいこう,0,0,0,0,1,1,0,1,0
STABLE,2,吉,安心,だいじょうぶそう,0,1,0,0,1,1,0,1,1
STABLE,3,吉,継続,こつこつ中,0,0,1,1,1,0,0,1,1
STABLE,4,吉,安定,落ち着いてる,0,1,1,1,1,1,0,2,2
STABLE,5,大吉,成熟,ちゃんと育った,1,1,2,1,2,1,0,2,4
STABLE,6,中吉,余韻,ひと休みしよう,0,0,0,0,0,1,0,1,0
FLOW,1,吉,流入,風がきた,1,1,0,0,1,0,0,0,1
FLOW,2,吉,調和,なじんできた,1,1,0,0,1,1,0,0,1
FLOW,3,中吉,変動,ちょっとゆれる,0,0,0,0,1,0,1,-1,0
FLOW,4,吉,循環,流れに乗れそう,1,1,1,1,1,0,0,0,2
FLOW,5,大吉,共鳴,ぴったりかも,2,2,1,1,1,1,0,1,4
FLOW,6,中吉,離脱,次へいこう,0,0,0,0,0,0,0,0,0
TRANSFORM,1,吉,兆し,なにか始まりそう,1,0,0,0,1,0,1,0,1
TRANSFORM,2,吉,回復,ほっとした,1,1,0,0,1,1,0,0,1
TRANSFORM,3,注意,揺らぎ,まだ不安かも,-1,0,-1,0,0,0,1,-1,-2
TRANSFORM,4,吉,転換,景色が変わる,1,0,1,0,2,0,1,0,2
TRANSFORM,5,大吉,変容,生まれ変わった,2,1,1,1,3,1,0,0,5
TRANSFORM,6,中吉,旅立ち,また進もう,1,0,0,0,1,0,0,0,1
NURTURE,1,吉,受容,そのままでいい,0,1,0,0,0,2,0,1,1
NURTURE,2,大吉,素直,だいじょうぶだよ,0,2,0,0,1,2,0,1,4
NURTURE,3,中吉,蓄積,育ってる途中,0,0,1,1,1,1,0,1,1
NURTURE,4,注意,慎重,少し様子見,0,0,0,0,0,1,0,1,-1
NURTURE,5,大吉,実り,ちゃんと実った,1,2,1,1,2,2,0,2,5
NURTURE,6,注意,抱え込み,がんばりすぎた,-1,0,-1,0,0,-1,0,-1,-2
WISDOM,1,吉,学び,知らなかった,0,0,0,0,2,1,0,0,1
WISDOM,2,吉,理解,わかってきた,0,0,1,0,2,1,0,0,2
WISDOM,3,中吉,疑問,考え中,0,0,0,0,1,0,1,0,0
WISDOM,4,吉,洞察,見えてきた,1,0,1,0,2,0,0,0,2
WISDOM,5,大吉,智慧,なるほど,1,1,1,1,3,1,0,1,5
WISDOM,6,中吉,俯瞰,振り返ってみよう,0,0,0,0,1,0,0,1,1
TRIAL,1,注意,不安,どうしよう,-1,0,-1,0,0,0,1,-1,-2
TRIAL,2,中吉,忍耐,もう少し,0,0,0,0,1,1,1,0,0
TRIAL,3,注意,葛藤,むずかしい,-1,-1,0,0,0,-1,2,-1,-3
TRIAL,4,吉,突破口,光が見えた,1,0,1,0,1,0,2,0,2
TRIAL,5,大吉,克服,乗り越えた,2,1,2,1,2,1,3,1,5
TRIAL,6,中吉,経験,無駄じゃなかった,0,0,0,0,1,0,1,1,1
JOY,1,吉,出会い,こんにちは,1,2,0,0,0,0,0,0,1
JOY,2,吉,親近感,仲良くなれそう,1,2,0,0,0,1,0,0,2
JOY,3,中吉,期待,わくわくする,1,1,0,0,0,0,0,-1,0
JOY,4,吉,交流,話してみよう,1,2,0,0,1,0,0,0,2
JOY,5,大吉,幸福,うれしい,2,3,1,1,1,1,0,1,5
JOY,6,中吉,感謝,ありがとう,0,2,0,0,0,1,0,1,1
