id	name	kana	type	season	weather_id	sky_id	hex_bonus	fortune_score	rank		hex_bonus	hex_bonus_meaning
1	乾為天	けんいてん	ACTIVE	SUMMER	1	9	5	91	SSR		+8	純粋上昇・創造極点
2	坤為地	こんいち	NURTURE	WINTER	4	21	4	81	R		+5	安定受容・基盤
3	水雷屯	すいらいちゅん	TRIAL	SPRING	8	7	-2	68	N		-3	混乱の始まり
4	山水蒙	さんすいもう	WISDOM	SPRING	8	22	0	81	R		-1	未成熟・学習段階
5	水天需	すいてんじゅ	STABLE	WINTER	4	23	1	77	R		+2	待機・準備
6	天水訟	てんすいしょう	TRIAL	WINTER	5	3	-3	67	N		-4	対立・摩擦
7	地水師	ちすいし	TRIAL	WINTER	5	20	-1	69	N		-2	集団統制
8	水地比	すいちひ	FLOW	SPRING	2	6	2	82	R		+3	協調・結束
9	風天小畜	ふうてんしょうちく	STABLE	AUTUMN	3	23	1	77	R		+4	蓄積成長
10	天沢履	てんたくり	WISDOM	AUTUMN	2	15	1	81	R		+3	慎重前進
11	地天泰	ちてんたい	FLOW	SPRING	1	24	5	85	SR		+7	完全調和
12	天地否	てんちひ	TRIAL	WINTER	7	3	-4	66	N		-6	閉塞・停滞
13	天火同人	てんかどうじん	JOY	SUMMER	2	11	3	83	R		+5	協力拡大
14	火天大有	かてんたいゆう	ACTIVE	SUMMER	1	9	5	91	SSR		+8	豊かさ極大
15	地山謙	ちざんけん	WISDOM	AUTUMN	4	21	5	85	SR		+4	謙虚安定
16	雷地豫	らいちよ	JOY	SPRING	2	5	2	82	R		+6	高揚開始
17	沢雷随	たくらいずい	FLOW	SPRING	2	5	2	82	R		+3	流れ適応
18	山風蠱	さんぷうこ	TRANSFORM	WINTER	5	19	0	80	R		-2	修復必要
19	地沢臨	ちたくりん	NURTURE	SPRING	2	24	3	80	R		+6	接近成功
20	風地観	ふうちかん	WISDOM	AUTUMN	4	21	2	82	R		+2	観察
21	火雷噬嗑	からいぜいごう	TRIAL	SUMMER	6	10	0	70	N		+4	突破力
22	山火賁	さんかひ	WISDOM	AUTUMN	2	17	1	81	R		+3	装飾・表現
23	山地剥	さんちはく	TRIAL	WINTER	7	1	-3	67	N		-5	崩壊・削ぎ落とし
24	地雷復	ちらいふく	TRANSFORM	SPRING	1	4	5	85	SR		+6	回復・再生
25	天雷无妄	てんらいむぼう	ACTIVE	SUMMER	1	24	4	90	SSR		+5	純粋進行
26	山天大畜	さんてんたいちく	STABLE	AUTUMN	3	8	4	80	R		+7	蓄積最大
27	山雷頤	さんらいい	WISDOM	SPRING	5	19	2	82	R		+4	養育・回復
28	沢風大過	たくふうたいか	TRIAL	WINTER	6	10	-2	68	N		-3	過負荷
29	坎為水	かんいすい	TRIAL	WINTER	7	3	-2	68	N		-2	危機・深層
30	離為火	りいか	ACTIVE	SUMMER	1	11	5	91	SSR		+8	極点情熱
31	沢山咸	たくざんかん	JOY	AUTUMN	2	13	2	82	R		+5	感応・共鳴
32	雷風恒	らいふうこう	STABLE	AUTUMN	2	15	3	79	R		+6	持続安定
33	天山遯	てんざんとん	STABLE	WINTER	4	23	0	76	R		-3	退避
34	雷天大壮	らいてんたいそう	ACTIVE	SUMMER	1	9	4	90	SSR		+7	爆発成長
35	火地晋	かちしん	ACTIVE	SPRING	1	4	4	90	SSR		+7	上昇
36	地火明夷	ちかめいい	TRIAL	WINTER	7	20	-2	68	N		-4	潜伏
37	風火家人	ふうかかじん	NURTURE	AUTUMN	2	17	2	79	R		+5	安定家庭
